
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2012-1-1,46,37,28,41,32,26,100,89,75,29.94,29.75,29.52,10,8,1,28,15,45,0.01,7,Snow,249<br />
2012-1-2,30,26,21,27,21,11,93,81,60,30.18,29.96,29.83,10,7,1,18,14,28,0.00,8,Snow,301<br />
2012-1-3,21,18,15,16,10,6,81,67,57,30.31,30.25,30.19,10,10,9,18,13,25,0.00,4,,302<br />
2012-1-4,35,27,19,28,21,14,86,77,64,30.19,29.98,29.88,10,10,10,14,8,,0.00,2,,247<br />
2012-1-5,41,31,21,32,27,21,100,86,57,30.02,29.91,29.71,10,9,4,12,5,,0.00,1,,230<br />
2012-1-6,54,44,35,38,35,31,93,76,51,29.73,29.70,29.67,10,10,10,12,9,,0.00,0,,230<br />
2012-1-7,43,38,32,33,29,26,100,72,58,30.19,29.96,29.68,10,10,10,16,8,24,0.00,5,,294<br />
2012-1-8,37,30,23,27,24,19,96,78,54,30.38,30.30,30.17,10,10,10,6,3,,0.00,1,,263<br />
2012-1-9,42,30,19,29,24,18,100,78,47,30.29,30.08,29.93,10,10,8,15,4,21,0.00,1,,235<br />
2012-1-10,46,37,27,33,30,26,100,79,56,30.05,29.97,29.90,10,10,7,14,8,21,0.00,0,,244<br />
2012-1-11,45,34,23,38,31,21,100,89,58,29.88,29.71,29.48,10,6,1,8,4,,0.10,2,Rain,83<br />
2012-1-12,39,31,21,39,36,19,100,98,86,29.46,29.37,29.30,10,4,1,29,7,112,0.12,8,Rain-Snow,316<br />
2012-1-13,28,24,19,27,21,16,100,88,74,29.96,29.60,29.38,10,4,1,20,13,30,0.00,8,Snow,269<br />
2012-1-14,23,21,19,21,19,17,100,91,85,30.26,30.08,29.93,10,5,1,14,6,40,0.00,8,Snow,250<br />
2012-1-15,24,20,15,18,14,9,86,79,68,30.47,30.39,30.25,10,10,8,10,5,16,0.00,4,,158<br />
2012-1-16,41,30,19,41,29,14,100,85,68,30.30,29.96,29.79,10,8,1,13,7,20,0.03,4,Rain,191<br />
2012-1-17,51,38,26,52,42,18,100,96,69,30.02,29.62,29.35,10,4,0,39,8,48,1.09,8,Fog-Rain-Snow,224<br />
2012-1-18,25,22,18,18,14,10,85,71,59,30.28,30.16,30.02,10,10,7,16,10,24,0.00,6,Snow,266<br />
2012-1-19,28,17,1,27,17,1,100,82,57,30.18,29.85,29.73,10,6,1,22,13,29,0.00,5,Snow,256<br />
2012-1-20,16,8,0,13,11,3,100,85,74,30.32,30.20,30.06,10,6,1,10,3,,0.12,4,Snow,68<br />
2012-1-21,25,16,6,23,11,3,96,86,78,30.33,30.19,30.05,10,9,2,13,6,,0.00,3,Snow,13<br />
2012-1-22,34,20,6,34,24,3,100,94,85,30.28,30.05,29.82,10,5,0,12,7,17,0.00,7,Fog-Rain,134<br />
2012-1-23,48,40,30,47,38,23,100,94,72,29.83,29.61,29.44,10,7,2,30,10,91,0.37,8,Rain,180<br />
2012-1-24,33,32,28,25,24,21,76,73,69,30.34,30.11,29.86,10,10,10,23,17,33,0.00,8,,277<br />
2012-1-25,30,29,28,25,22,21,86,75,69,30.39,30.31,30.17,10,10,8,8,4,,0.00,8,,290<br />
2012-1-26,35,32,28,34,30,25,100,91,85,30.17,29.79,29.53,9,4,2,8,5,,0.16,8,Rain,73<br />
2012-1-27,39,34,28,37,29,24,100,85,55,29.98,29.70,29.50,10,7,2,17,8,24,0.12,6,Rain-Snow,304<br />
2012-1-28,35,30,26,31,27,16,96,83,52,30.08,29.84,29.72,10,4,1,28,11,43,0.03,7,Snow,230<br />
2012-1-29,32,26,18,28,23,10,93,80,62,30.23,29.97,29.86,10,6,0,24,12,32,0.01,6,Fog-Snow,253<br />
2012-1-30,39,22,10,31,19,7,92,80,66,30.26,30.10,29.94,10,10,7,12,4,18,0.00,3,,192<br />
2012-1-31,54,46,37,45,37,31,89,70,55,29.95,29.89,29.83,10,10,10,16,11,28,0.00,3,,221<br />
2012-2-1,48,42,37,45,37,31,93,78,63,30.13,29.98,29.83,10,10,8,15,9,67,0.00,6,,282<br />
2012-2-2,39,32,25,31,28,23,92,78,63,30.43,30.26,30.12,10,10,7,8,4,,0.00,6,,320<br />
2012-2-3,37,29,21,33,26,20,100,84,72,30.51,30.46,30.41,10,6,2,7,1,,0.00,5,,345<br />
2012-2-4,42,34,24,28,26,21,96,72,53,30.40,30.28,30.19,10,9,3,8,3,,0.00,2,,74<br />
2012-2-5,45,32,19,29,23,17,96,77,49,30.26,30.22,30.17,10,9,5,6,1,,0.00,0,,306<br />
2012-2-6,48,36,24,30,26,23,96,73,39,30.20,30.13,30.04,10,10,7,18,8,24,0.00,3,,264<br />
2012-2-7,36,32,26,30,25,16,88,76,66,30.38,30.27,30.13,10,8,2,12,7,20,0.00,7,Snow,3<br />
2012-2-8,35,28,21,17,14,11,78,60,37,30.37,30.31,30.24,10,10,10,10,5,,0.00,2,,321<br />
2012-2-9,37,28,19,22,18,15,88,67,41,30.25,30.19,30.13,10,10,8,17,9,23,0.00,0,,235<br />
2012-2-10,33,24,15,29,23,10,93,84,72,30.11,29.94,29.82,10,5,0,20,8,32,0.01,7,Fog-Snow,220<br />
2012-2-11,19,14,10,10,6,-2,85,71,47,30.24,30.07,29.89,10,6,1,22,17,32,0.00,7,Snow,330<br />
2012-2-12,30,24,17,15,12,8,78,65,52,30.22,30.17,30.12,10,10,6,21,13,30,0.00,4,Snow,289<br />
2012-2-13,35,26,16,18,14,10,81,58,38,30.15,30.09,29.97,10,10,10,14,9,,0.00,4,,247<br />
2012-2-14,33,30,28,28,26,19,93,87,64,30.06,29.91,29.85,10,4,1,10,6,,0.05,8,Snow,212<br />
2012-2-15,36,34,32,34,29,26,93,81,75,30.20,30.13,30.04,10,8,3,14,7,,0.05,8,Rain,196<br />
2012-2-16,44,37,28,39,35,25,100,91,70,30.09,29.98,29.92,10,4,0,15,4,24,0.12,7,Fog-Rain,265<br />
2012-2-17,43,34,26,28,25,20,88,65,40,30.14,30.09,29.97,10,9,6,15,8,28,0.00,4,,246<br />
2012-2-18,37,29,21,29,22,15,85,67,46,30.24,30.07,29.94,10,10,6,22,10,28,0.00,4,,302<br />
2012-2-19,35,27,19,18,16,14,89,67,46,30.24,30.20,30.14,10,10,10,12,4,,0.00,1,,24<br />
2012-2-20,36,26,15,22,19,12,92,76,52,30.40,30.30,30.15,10,10,10,8,3,,0.00,0,,137<br />
2012-2-21,41,34,27,38,31,23,93,86,70,30.13,29.73,29.62,10,6,0,22,7,37,0.10,6,Fog-Rain-Snow,196<br />
2012-2-22,39,34,30,34,31,27,93,84,65,29.70,29.54,29.44,10,9,2,16,9,52,0.00,6,Snow,231<br />
2012-2-23,41,34,28,32,30,27,100,85,65,29.63,29.54,29.43,10,6,0,30,5,75,0.08,7,Fog-Snow,214<br />
2012-2-24,34,32,30,34,30,25,100,88,75,29.76,29.43,29.26,10,4,1,23,9,68,0.16,8,Snow,355<br />
2012-2-25,32,30,27,27,23,17,93,77,56,30.35,29.93,29.74,10,6,1,22,12,30,0.02,8,Snow,288<br />
2012-2-26,37,28,19,25,20,16,88,67,55,30.44,30.30,30.14,10,10,10,13,5,21,0.00,3,,178<br />
2012-2-27,42,37,27,26,23,21,78,63,47,30.49,30.25,30.09,10,10,10,25,11,37,0.00,5,,261<br />
2012-2-28,39,29,19,27,23,16,92,72,55,30.52,30.40,30.14,10,9,6,12,4,,0.00,3,,142<br />
2012-2-29,44,38,33,42,34,25,100,91,70,30.09,29.75,29.47,10,4,0,17,10,44,0.53,8,Fog-Rain,103<br />
2012-3-1,42,38,33,34,31,30,92,79,61,29.90,29.74,29.57,10,9,3,26,13,51,0.01,8,Rain-Snow,259<br />
2012-3-2,48,41,34,46,37,30,100,86,63,29.88,29.49,29.14,10,7,2,28,7,54,0.50,5,Rain,118<br />
2012-3-3,36,32,28,29,24,20,76,69,61,29.75,29.58,29.30,10,10,6,32,24,74,0.00,8,Snow,264<br />
2012-3-4,36,31,26,25,21,19,88,71,52,29.91,29.81,29.73,10,9,2,16,9,20,0.00,8,Snow,307<br />
2012-3-5,30,26,21,23,18,12,88,74,47,30.42,30.11,29.88,10,6,1,14,6,22,0.01,7,Snow,28<br />
